OBJECTID,FUNC_LOC_I,NAME,ADDRESS,ADDR3,AREA_SQ_M,RFOS_CATEGORY,RFOS_SUB_CATEGORY,MAINTAINED_BY,GlobalID
150652,K-EMILYR,EMILY RESERVE,TALLEBUDGERA CREEK ROAD,TALLEBUDGERA VALLEY,92025,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,2bf21eba-a4ca-4a3c-b04a-94907cfc392d
150653,K-HARD01,HARDYS BONOGIN RD JUNCTION PARK,112 HARDYS ROAD,MUDGEERABA,23319,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,22502b56-69a5-4e03-89a6-45bc2af982c9
150654,K-THEVIL,THE VILLAGE PARK,ENTERTAINMENT ROAD,OXENFORD,15196,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,f10af13d-15a0-4954-a97a-79aa21d7c6ab
150655,K-VESPAP,VESPA PARK,59 BUNDALL ROAD,SURFERS PARADISE,12452,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,a6b922c9-3bb2-4c7d-b2c1-a797437eba83
150656,K-VIAR02,VIA ROMA WEST PARK,1 VIA ROMA STREET,SURFERS PARADISE,268,OPEN SPACE PARKS,AMENITY SPACE,GCCC,82069391-5e04-4b3c-9e64-d802ce417a52
150657,K-VICTOR,VICTORIA PARK,2701 GOLD COAST HIGHWAY,BROADBEACH,5112,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,67ab7ea1-5350-4d2e-b459-84b8ff84ea8b
150658,K-VILL01,VILLAGE GREEN,200 DISCOVERY DRIVE,HELENSVALE,2364,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,67ee5256-6c5b-46c3-a1e5-eae285ecd419
150659,K-VILL01,VILLAGE GREEN,200 DISCOVERY DRIVE,HELENSVALE,18570,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,90e94663-2c8e-46b5-9148-6c2aff9263e3
150660,K-VINCEH,VINCE HINDE PARK,2 TIRRING STREET,NERANG,26938,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,579d5fc5-1b08-468d-9714-6095f7e45a93
150661,K-WONG04,WONGAWALLAN CONSERVATION AREA KINGSHOLME SECTION,52 UPPER ORMEAU ROAD,KINGSHOLME,1942811,GOLD COAST CONSERVATION ESTATE,CONSERVATION AREA,GCCC,e91aa61d-54dc-4537-aead-e50e5462d1c6
150662,K-ORME03,ORMEAU SPORTS PARK,22 UPPER ORMEAU ROAD,KINGSHOLME,79955,SPORTS PARKS,DISTRICT SPORTS PARK,GCCC,a546e021-aa25-4e7f-a827-4f1517096cc8
150663,K-WINFIE,WINFIELD ROAD PARKLANDS,29 WINFIELD ROAD,ORMEAU,2099,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,96eb8b47-e547-4fc4-9e45-a354d345aaed
150664,K-WINFIE,WINFIELD ROAD PARKLANDS,29 WINFIELD ROAD,ORMEAU,13345,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,e3659ca8-9922-47c1-b34b-8ba38177bf1f
150665,K-SANDHU,SANDHURST CRESCENT RESERVE,SANDHURST CRESCENT,UPPER COOMERA,4839,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,7a0d904f-e0bb-43fa-a5ec-ead09ff99764
150666,K-ELIZAB,ELIZABETH SLOPER PARK,80 LAGUNA AVENUE,PALM BEACH,4329,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,9721c699-3e7a-4268-b54e-722e7829acbc
150667,K-SCHUST,SCHUSTERS PARK,506 SCHUSTERS ROAD,TALLEBUDGERA,280010,OPEN SPACE PARKS,DISTRICT RECREATION PARK,GCCC,a982a868-0930-466d-acc7-2b6e6e49c69c
150668,K-CHARLT,CHARLTON PARK,22A CHARLTON CRESCENT,ORMEAU,2636,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,8cc62611-bbf3-4c84-af34-127a2e147e7c
150669,K-DAYLES,DAYLESFORD PARK,DAYLESFORD CIRCUIT,ORMEAU,8417,OPEN SPACE PARKS,AMENITY SPACE,GCCC,f14ae5ba-a973-4d01-8ad9-687e8f187232
150670,K-DAYLES,DAYLESFORD PARK,DAYLESFORD CIRCUIT,ORMEAU,2237,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,4da68b45-893e-4dc6-971b-2389bb33bebc
